externalId,questionDescription,questionType,question,answerType,answers,answerDescription
1,,image,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Alabama_in_United_States.svg/600px-Alabama_in_United_States.svg.png,text,Alabama,
2,,image,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Alaska_in_United_States_%28US50%29.svg/600px-Alaska_in_United_States_%28US50%29.svg.png,text,Alaska,
3,,image,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Arizona_in_United_States.svg/600px-Arizona_in_United_States.svg.png,text,Arizona,
4,,image,https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Arkansas_in_United_States.svg/600px-Arkansas_in_United_States.svg.png,text,Arkansas,
5,,image,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/California_in_United_States.svg/600px-California_in_United_States.svg.png,text,California,
6,,image,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Colorado_in_United_States.svg/600px-Colorado_in_United_States.svg.png,text,Colorado,
7,,image,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Connecticut_in_United_States_%28zoom%29.svg/600px-Connecticut_in_United_States_%28zoom%29.svg.png,text,Connecticut,
8,,image,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Delaware_in_United_States_%28zoom%29.svg/600px-Delaware_in_United_States_%28zoom%29.svg.png,text,Delaware,
9,,image,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Florida_in_United_States.svg/600px-Florida_in_United_States.svg.png,text,Florida,
10,,image,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Georgia_in_United_States.svg/600px-Georgia_in_United_States.svg.png,text,Georgia,
11,,image,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Hawaii_in_United_States_%28zoom%29_%28US50%29_%28-grid%29.svg/600px-Hawaii_in_United_States_%28zoom%29_%28US50%29_%28-grid%29.svg.png,text,Hawaii,
12,,image,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Idaho_in_United_States.svg/600px-Idaho_in_United_States.svg.png,text,Idaho,
13,,image,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Illinois_in_United_States.svg/600px-Illinois_in_United_States.svg.png,text,Illinois,
14,,image,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Indiana_in_United_States.svg/600px-Indiana_in_United_States.svg.png,text,Indiana,
15,,image,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Iowa_in_United_States.svg/600px-Iowa_in_United_States.svg.png,text,Iowa,
16,,image,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Kansas_in_United_States.svg/600px-Kansas_in_United_States.svg.png,text,Kansas,
17,,image,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Kentucky_in_United_States.svg/600px-Kentucky_in_United_States.svg.png,text,Kentucky,
18,,image,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Louisiana_in_United_States.svg/600px-Louisiana_in_United_States.svg.png,text,Louisiana,
19,,image,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Maine_in_United_States.svg/600px-Maine_in_United_States.svg.png,text,Maine,
20,,image,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Maryland_in_United_States_%28zoom%29.svg/600px-Maryland_in_United_States_%28zoom%29.svg.png,text,Maryland,
21,,image,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Massachusetts_in_United_States_%28zoom%29.svg/600px-Massachusetts_in_United_States_%28zoom%29.svg.png,text,Massachusetts,
22,,image,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Michigan_in_United_States.svg/600px-Michigan_in_United_States.svg.png,text,Michigan,
23,,image,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Minnesota_in_United_States.svg/600px-Minnesota_in_United_States.svg.png,text,Minnesota,
24,,image,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Mississippi_in_United_States.svg/600px-Mississippi_in_United_States.svg.png,text,Mississippi,
25,,image,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Missouri_in_United_States.svg/600px-Missouri_in_United_States.svg.png,text,Missouri,
26,,image,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Montana_in_United_States.svg/600px-Montana_in_United_States.svg.png,text,Montana,
27,,image,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Nebraska_in_United_States.svg/600px-Nebraska_in_United_States.svg.png,text,Nebraska,
28,,image,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Nevada_in_United_States.svg/600px-Nevada_in_United_States.svg.png,text,Nevada,
29,,image,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/New_Hampshire_in_United_States.svg/600px-New_Hampshire_in_United_States.svg.png,text,New Hampshire,
30,,image,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/New_Jersey_in_United_States_%28zoom%29.svg/600px-New_Jersey_in_United_States_%28zoom%29.svg.png,text,New Jersey,
31,,image,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/New_Mexico_in_United_States.svg/600px-New_Mexico_in_United_States.svg.png,text,New Mexico,
32,,image,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/New_York_in_United_States.svg/600px-New_York_in_United_States.svg.png,text,New York,
33,,image,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/North_Carolina_in_United_States.svg/600px-North_Carolina_in_United_States.svg.png,text,North Carolina,
34,,image,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/North_Dakota_in_United_States.svg/600px-North_Dakota_in_United_States.svg.png,text,North Dakota,
35,,image,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Ohio_in_United_States.svg/600px-Ohio_in_United_States.svg.png,text,Ohio,
36,,image,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Oklahoma_in_United_States.svg/600px-Oklahoma_in_United_States.svg.png,text,Oklahoma,
37,,image,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Oregon_in_United_States.svg/600px-Oregon_in_United_States.svg.png,text,Oregon,
38,,image,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Pennsylvania_in_United_States.svg/600px-Pennsylvania_in_United_States.svg.png,text,Pennsylvania,
39,,image,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Rhode_Island_in_United_States_%28zoom%29.svg/600px-Rhode_Island_in_United_States_%28zoom%29.svg.png,text,Rhode Island,
40,,image,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/South_Carolina_in_United_States.svg/600px-South_Carolina_in_United_States.svg.png,text,South Carolina,
41,,image,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/South_Dakota_in_United_States.svg/600px-South_Dakota_in_United_States.svg.png,text,South Dakota,
42,,image,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Tennessee_in_United_States.svg/600px-Tennessee_in_United_States.svg.png,text,Tennessee,
43,,image,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Texas_in_United_States.svg/600px-Texas_in_United_States.svg.png,text,Texas,
44,,image,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Utah_in_United_States.svg/600px-Utah_in_United_States.svg.png,text,Utah,
45,,image,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Vermont_in_United_States_%28zoom%29.svg/600px-Vermont_in_United_States_%28zoom%29.svg.png,text,Vermont,
46,,image,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Virginia_in_United_States.svg/600px-Virginia_in_United_States.svg.png,text,Virginia,
47,,image,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Washington_in_United_States.svg/600px-Washington_in_United_States.svg.png,text,Washington,
48,,image,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/West_Virginia_in_United_States.svg/600px-West_Virginia_in_United_States.svg.png,text,West Virginia,
49,,image,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Wisconsin_in_United_States.svg/600px-Wisconsin_in_United_States.svg.png,text,Wisconsin,
