Img_Name,Top,Left,Width,Height,Label
02-25 13.26.44.jpg,131,1687,163,163,Speed Limit 80
02-25 13.33.43.jpg,399,256,36,33,Speed Limit 50
02-25 13.37.16.jpg,400,249,44,44,Speed Limit 50
02-25 14.21.59.jpg,392,458,34,32,Speed Limit 50
02-25 14.25.06.jpg,332,232,78,72,Speed Limit 50
02-25 15.26.11.jpg,362,452,36,37,Speed Limit 50
02-25 15.55.28.jpg,369,337,41,46,Speed Limit 50
02-25 15.59.15.jpg,385,296,45,39,Speed Limit 50
02-25 16.00.13.jpg,384,417,34,34,Speed Limit 50
02-25 16.00.48.jpg,386,247,48,41,Speed Limit 50
02-25 16.02.16.jpg,382,304,47,46,Speed Limit 50
02-25 16.02.59.jpg,355,191,46,55,Speed Limit 50
02-25 16.04.45.jpg,331,97,69,73,Speed Limit 50
02-25 16.06.01.jpg,374,289,50,49,Speed Limit 50
02-25 16.07.30.jpg,444,560,21,23,Speed Limit 50
02-25 16.18.51.jpg,384,489,37,34,Speed Limit 50
02-25 16.25.54.jpg,407,528,35,32,Speed Limit 50
02-25 15.18.51.jpg,493,989,38,90,Speed Limit 50
02-25 15.56.50.jpg,423,1686,89,114,Speed Limit 50
02-25 16.15.24.jpg,273,1424,82,199,Speed Limit 50
02-25 13.28.48.jpg,369,1478,63,121,Speed Limit 80
02-25 16.05.21.jpg,590,1782,29,54,Speed Limit 50
02-25 16.18.27.jpg,537,1438,27,48,Speed Limit 50
03-29 12.01.09.jpg,745,387,106,109,Speed Limit 30
03-29 12.19.42.jpg,656,96,114,122,Speed Limit 50
03-29 12.13.20.jpg,361,1672,98,165,Speed Limit 50
03-29 11.24.42.jpg,592,1553,49,94,Speed Limit 20
03-29 12.20.58.jpg,611,1497,141,139,Speed Limit 50
04-29 09.20.21.jpg,508,109,125,116,Speed Limit 40
04-29 13.29.03.jpg,583,477,83,84,Speed Limit 40
04-29 13.31.12.jpg,612,562,48,48,Speed Limit 40
04-29 13.32.44.jpg,528,293,82,79,Speed Limit 40
04-29 13.34.07.jpg,656,570,41,43,Speed Limit 40
04-29 13.54.13.jpg,663,551,57,54,Speed Limit 40
04-29 11.59.39.jpg,364,1406,104,175,Speed Limit 40
04-29 13.27.31.jpg,543,1654,44,56,Speed Limit 40
04-29 13.56.25.jpg,313,1420,61,135,Speed Limit 40
05-01 12.06.47.jpg,565,1661,97,97,Speed Limit 40
05-01 12.07.41.jpg,575,1764,127,117,Speed Limit 40
05-01 12.28.20.jpg,309,1215,74,163,Speed Limit 50
05-02 14.42.56.jpg,629,1594,46,49,Speed Limit 30
05-02 14.44.06.jpg,642,1494,42,39,Speed Limit 30
05-02 16.12.37.jpg,505,0,99,110,Speed Limit 30
05-02 18.07.09.jpg,534,15,79,72,Speed Limit 30
05-02 14.44.25.jpg,81,1773,87,164,Speed Limit 30
05-03 12.29.23.jpg,610,1379,82,79,Speed Limit 40
06-04 15.05.40.jpg,593,221,65,61,Speed Limit 60
06-04 15.06.03.jpg,583,526,61,59,Speed Limit 60
06-04 16.05.23.jpg,642,589,26,28,Speed Limit 50
06-04 16.13.31.jpg,601,251,41,38,Speed Limit 50
06-04 16.14.06.jpg,593,415,41,43,Speed Limit 40
06-04 16.29.21.jpg,572,16,54,50,Speed Limit 50
06-04 16.33.00.jpg,601,474,52,48,Speed Limit 50
06-04 16.37.48.jpg,566,87,54,54,Speed Limit 50
06-04 15.05.35.jpg,389,1173,52,113,Speed Limit 60
06-04 16.07.21.jpg,455,1655,47,75,Speed Limit 50
06-04 16.40.59.jpg,407,1319,45,105,Speed Limit 50
06-05 17.37.08.jpg,387,1635,123,103,Speed Limit 30
