externalId,questionDescription,questionType,question,answerType,answer
1,Name the AWS service,text,Query Data in S3 using SQL,multiText,Amazon Athena
2,Name the AWS service,text,Managed Search Service,multiText,Amazon CloudSearch
3,Name the AWS service,text,Run and Scale Elasticsearch Clusters,multiText,Amazon Elasticsearch Service
4,Name the AWS service,text,Hosted Hadoop Framework,multiText,Amazon EMR
5,Name the AWS service,text,Work with Real-time Streaming Data,multiText,Amazon Kinesis
6,Name the AWS service,text,Fully managed Apache Kafka service,multiText,Amazon Managed Streaming for Apache Kafka
7,Name the AWS service,text,Fast Simple Cost-effective Data Warehousing,multiText,Amazon Redshift
8,Name the AWS service,text,Fast Business Analytics Service,multiText,Amazon QuickSight
9,Name the AWS service,text,Find subscribe to and use third-party data in the cloud,multiText,AWS Data Exchange
10,Name the AWS service,text,Orchestration Service for Periodic Data-driven Workflows,multiText,AWS Data Pipeline
11,Name the AWS service,text,Prepare and Load Data,multiText,AWS Glue
12,Name the AWS service,text,Build a secure data lake in days,multiText,AWS Lake Formation
13,Name the AWS service,text,Query Data in S3 using SQL,multiText,Amazon Athena
14,Name the AWS service,text,Managed Search Service,multiText,Amazon CloudSearch
15,Name the AWS service,text,Run and Scale Elasticsearch Clusters,multiText,Amazon Elasticsearch Service
16,Name the AWS service,text,Hosted Hadoop Framework,multiText,Amazon EMR
17,Name the AWS service,text,Work with Real-time Streaming Data,multiText,Amazon Kinesis
18,Name the AWS service,text,Build and Run VR and AR Applications,multiText,Amazon Sumerian
19,Name the AWS service,text,Analyze Your AWS Cost and Usage,multiText,AWS Cost Explorer
20,Name the AWS service,text,Set Custom Cost and Usage Budgets,multiText,AWS Budgets
21,Name the AWS service,text,Access Comprehensive Cost and Usage Information,multiText,AWS Cost and Usage Report
22,Name the AWS service,text,Create and manage scalable blockchain networks,multiText,Amazon Managed Blockchain
23,Name the AWS service,text,Fully managed ledger database,multiText,Amazon Quantum Ledger Database (QLDB)
24,Name the AWS service,text,Empower your Organization with Alexa,multiText,Alexa for Business
25,Name the AWS service,text,Frustration-free Meetings Video Calls and Chat,multiText,Amazon Chime
26,Name the AWS service,text,Secure enterprise document storage and sharing,multiText,Amazon WorkDocs
27,Name the AWS service,text,Secure and Managed Business Email and Calendaring,multiText,Amazon WorkMail
28,Name the AWS service,text,Virtual Servers in the Cloud,multiText,Amazon EC2
29,Name the AWS service,text,Scale Compute Capacity to Meet Demand,multiText,Amazon EC2 Auto Scaling
30,Name the AWS service,text,Store and Retrieve Docker Images,multiText,Amazon Elastic Container Registry
31,Name the AWS service,text,Run and Manage Docker Containers,multiText,Amazon Elastic Container Service
32,Name the AWS service,text,Run Managed Kubernetes on AWS,multiText,Amazon Elastic Kubernetes Service
33,Name the AWS service,text,Launch and Manage Virtual Private Servers,multiText,Amazon Lightsail
34,Name the AWS service,text,Run Batch Jobs at Any Scale,multiText,AWS Batch
35,Name the AWS service,text,Run and Manage Web Apps,multiText,AWS Elastic Beanstalk
36,Name the AWS service,text,Run Containers without Managing Servers or Clusters,multiText,AWS Fargate
37,Name the AWS service,text,Run your Code in Response to Events,multiText,AWS Lambda
38,Name the AWS service,text,Run AWS services on-premises,multiText,AWS Outposts
39,Name the AWS service,text,Discover Deploy and Publish Serverless Applications,multiText,AWS Serverless Application Repository
40,Name the AWS service,text,Deliver ultra-low latency applications for 5G devices,multiText,AWS Wavelength
41,Name the AWS service,text,Build a Hybrid Cloud without Custom Hardware,multiText,VMware Cloud on AWS
