externalId,questionDescription,questionType,question,answerType,answer,answerDescription
1,,image,https://s2.coinmarketcap.com/static/img/coins/64x64/1.png,text,Bitcoin,
2,,image,https://s2.coinmarketcap.com/static/img/coins/64x64/1027.png,text,Ethereum,
3,,image,https://s2.coinmarketcap.com/static/img/coins/64x64/825.png,text,Tether,
4,,image,https://s2.coinmarketcap.com/static/img/coins/64x64/2010.png,text,Cardano,
5,,image,https://s2.coinmarketcap.com/static/img/coins/64x64/1839.png,text,Binance Coin,
6,,image,https://s2.coinmarketcap.com/static/img/coins/64x64/74.png,text,Dogecoin,
7,,image,https://s2.coinmarketcap.com/static/img/coins/64x64/52.png,text,XRP,
8,,image,https://s2.coinmarketcap.com/static/img/coins/64x64/6636.png,text,Polkadot,
9,,image,https://s2.coinmarketcap.com/static/img/coins/64x64/8916.png,text,Internet Computer,
10,,image,https://s2.coinmarketcap.com/static/img/coins/64x64/3408.png,text,USD Coin,
11,,image,https://s2.coinmarketcap.com/static/img/coins/64x64/1831.png,text,Bitcoin Cash,
12,,image,https://s2.coinmarketcap.com/static/img/coins/64x64/7083.png,text,Uniswap,
13,,image,https://s2.coinmarketcap.com/static/img/coins/64x64/2.png,text,Litecoin,
14,,image,https://s2.coinmarketcap.com/static/img/coins/64x64/1975.png,text,Chainlink,
15,,image,https://s2.coinmarketcap.com/static/img/coins/64x64/512.png,text,Stellar,
16,,image,https://s2.coinmarketcap.com/static/img/coins/64x64/4687.png,text,Binance USD,
17,,image,https://s2.coinmarketcap.com/static/img/coins/64x64/5426.png,text,Solana,
18,,image,https://s2.coinmarketcap.com/static/img/coins/64x64/2416.png,text,THETA,
19,,image,https://s2.coinmarketcap.com/static/img/coins/64x64/3890.png,text,Polygon,
20,,image,https://s2.coinmarketcap.com/static/img/coins/64x64/1321.png,text,Ethereum Classic,
21,,image,https://s2.coinmarketcap.com/static/img/coins/64x64/3717.png,text,Wrapped Bitcoin,
22,,image,https://s2.coinmarketcap.com/static/img/coins/64x64/3077.png,text,VeChain,
23,,image,https://s2.coinmarketcap.com/static/img/coins/64x64/1958.png,text,TRON,
24,,image,https://s2.coinmarketcap.com/static/img/coins/64x64/2280.png,text,Filecoin,
25,,image,https://s2.coinmarketcap.com/static/img/coins/64x64/1765.png,text,EOS,
26,,image,https://s2.coinmarketcap.com/static/img/coins/64x64/328.png,text,Monero,
27,,image,https://s2.coinmarketcap.com/static/img/coins/64x64/4943.png,text,Dai,
28,,image,https://s2.coinmarketcap.com/static/img/coins/64x64/7278.png,text,Aave,
29,,image,https://s2.coinmarketcap.com/static/img/coins/64x64/5994.png,text,SHIBA INU,
30,,image,https://s2.coinmarketcap.com/static/img/coins/64x64/1376.png,text,Neo,
31,,image,https://s2.coinmarketcap.com/static/img/coins/64x64/4256.png,text,Klaytn,
32,,image,https://s2.coinmarketcap.com/static/img/coins/64x64/3602.png,text,Bitcoin SV,
