externalId,questionDescription,questionType,question,answerType,answer,answerDescription
1,What's the output of,code,[] == ![];,text,TRUE,
2,What's the output of,code,"!!""false"" === !!""true"";",text,TRUE,
3,What's the output of,code,NaN === NaN;,text,FALSE,
4,What's the output of,code,!!null;,text,FALSE,
5,What's the output of,code,document.all instanceof Object;,text,TRUE,
6,What's the output of,code,typeof document.all;,text,undefined,
7,What's the output of,code,document.all === undefined;,text,FALSE,
8,What's the output of,code,Number.MIN_VALUE > 0;,text,TRUE,
9,What's the output of,code,"class Foo extends null {};
new Foo() instanceof null;",text,TypeError,
10,What's the output of,code,"[1, 2, 3] + [4, 5, 6];",text,"""1,2,34,5,6""",
11,What's the output of,code,"[""""] == """";",text,TRUE,
12,What's the output of,code,[0] == 0;,text,TRUE,
13,What's the output of,code,"[null] == """";",text,TRUE,
14,What's the output of,code,[null] == 0;,text,TRUE,
15,What's the output of,code,[[[[[[ null ]]]]]] == 0;,text,TRUE,
16,What's the output of,code,Number();,text,0,
17,What's the output of,code,Number(undefined);,text,NaN,
18,What's the output of,code,"parseInt(""f*ck"");",text,NaN,
19,What's the output of,code,"parseInt(""f*ck"", 16);",text,15,
20,What's the output of,code,"parseInt(""Infinity"", 18); ",text,NaN,
21,What's the output of,code,"parseInt(""Infinity"", 19); ",text,18,
22,What's the output of,code,true + true;,text,2,
23,What's the output of,code,(true + true) * (true + true) - true;,text,3,
24,What's the output of,code,typeof NaN;,text,number,
25,What's the output of,code,typeof [];,text,object,
26,What's the output of,code,typeof null;,text,object,
27,What's the output of,code,null instanceof Object;,text,FALSE,
28,What's the output of,code,999999999999999;,text,999999999999999,
29,What's the output of,code,9999999999999999;,text,10000000000000000,
30,What's the output of,code,0.1 + 0.2 === 0.3;,text,false,
31,What's the output of,code,1 < 2 < 3;,text,true,
32,What's the output of,code,3 > 2 > 1;,text,false,
33,What's the output of,code,3 > 2 >= 1;,text,true,
34,What's the output of,code,""""" + """";",text,"""""",
35,What's the output of,code,[] + [];,text,"""""",
36,What's the output of,code,{} + [];,text,0,
37,What's the output of,code,[] + {};,text,[object Object],
38,What's the output of,code,{} + {};,text,[object Object][object Object],
39,What's the output of,code,"""222"" - -""111""",text,333,
40,What's the output of,code,[4] * [4],text,16,
41,What's the output of,code,"typeof ""str"";",text,string,
42,What's the output of,code,"""str"" instanceof String;",text,false,
43,What's the output of,code,"const c = ""constructor"";
c[c][c]('console.log(""WTF?"")')();",text,WTF,
44,What's the output of,code,(1).__proto__.__proto__.__proto__;,text,null,
45,What's the output of,code,(1).__proto__.__proto__;,text,{},
46,What's the output of,code,`${{ Object }}`;,text,[object Object],
47,What's the output of,code,"[...[...""...""]].length;",text,3,
48,What's the output of,code,"(() => {
  try {
    return 2;
  } finally {
    return 3;
  }
})();",text,3,
49,What's the output of,code,"typeof new class {
  class() {}
}();",text,object,
50,What's the output of,code,"let f = () => {};
f();",text,undefined,
51,What's the output of,code,"(function() {
  return
  {
    b: 10;
  }
})();",text,undefined,
52,What's the output of,code,null > 0;,text,false,
53,What's the output of,code,null == 0;,text,false,
54,What's the output of,code,null >= 0;,text,true,
55,What's the output of,code,Math.min();,text,infinity,
56,What's the output of,code,Math.max();,text,-infinity,
57,What's the output of,code,Math.min() > Math.max();,text,true,
58,What's the output of,code,"[10, 1, 3].sort();",text,"[1, 10, 3]",
59,What's the output of,code,{}{};,text,undefined,
60,What's the output of,code,{foo: 'bar'}{};,text,bar,
61,What's the output of,code,{a: 'b'}{c:' d'}{};,text,d,
62,What's the output of,code,({}{});,text,Syntax error,
63,What's the output of,code,""""".split("" "");",text,"[""""]",
64,What's the output of,code,"JSON.stringify(""production"") === ""production"";",text,false,
65,What's the output of,code,Boolean(1.1);,text,true,
66,What's the output of,code,1.1 == true;,text,false,
