externalId,questionDescription,questionType,question,answerType,answers,answerDescription
1,What's the capital of,text,China,text,Beijing,
2,What's the capital of,text,India,text,New Delhi,
3,What's the capital of,text,United States,text,"Washington, D.C.",
4,What's the capital of,text,Indonesia,text,Jakarta,
5,What's the capital of,text,Pakistan,text,Isamabad,
6,What's the capital of,text,Brazil,text,Brasília,
7,What's the capital of,text,Nigeria,text,Abuja,
8,What's the capital of,text,Bangladesh,text,Dhaka,
9,What's the capital of,text,Russia,text,Moscow,
10,What's the capital of,text,Mexico,text,Mexico City,
11,What's the capital of,text,Japan,text,Tokyo,
12,What's the capital of,text,Ethiopia,text,Addis Ababa,
13,What's the capital of,text,Philippines,text,Manila,
14,What's the capital of,text,Egypt,text,Cairo,
15,What's the capital of,text,Vietnam,text,Hanoi,
16,What's the capital of,text,Democratic Republic of the Congo,text,Kinshasa,
17,What's the capital of,text,Iran,text,Tehran,
18,What's the capital of,text,Turkey,text,Ankara,
19,What's the capital of,text,Germany,text,Berlin,
20,What's the capital of,text,France,text,Paris,
21,What's the capital of,text,United Kingdom,text,London,
22,What's the capital of,text,Thailand,text,Bangkok,
